Publication Number,Patent Type,Pages of Document,Count of Current Assignees,Count of Inventors,Main IPC Section,Simple Family Count,Simple Family Cited by Count,Legal Status & Events,Simple Legal Status,Patent Valuation
TH19339U,Utility models,8,3,2,A,1,0,Expired,Inactive,3100
TH19341U,Utility models,-,2,3,C,1,0,Granted,Active,3100
TH19336U,Utility models,10,2,2,A,1,0,Granted,Active,3100
TH2101000057A,Applications,12,1,4,A,1,0,Published,Pending,3100
TH1901000861A,Applications,165,1,16,A,1,0,Published,Pending,3100
TH2001002606A,Applications,39,1,6,A,1,0,Published,Pending,3100
TH2101001093A,Applications,18,1,2,A,1,0,Examining,Pending,3100
TH19355U,Utility models,2,1,2,C,1,0,Granted,Active,3100
TH19367U,Utility models,22,1,5,C,1,0,Granted,Active,3100
TH19366U,Utility models,20,1,2,C,1,0,Granted,Active,3100
TH2001007274A,Applications,8,1,2,C,1,0,Examining,Pending,3100
TH19364U,Utility models,13,1,3,C,1,0,Granted,Active,3100
TH2001006566A,Applications,24,1,2,C,1,0,Examining,Pending,3100
TH1901006858A,Applications,8,2,6,A,1,0,Examining,Pending,3100
TH19351U,Utility models,10,1,1,B,1,0,Granted,Active,3100
TH19420U,Utility models,-,1,1,C,1,0,Granted,Active,3100
TH2001000088A,Applications,101,1,15,A,1,0,Published,Pending,3100
TH19393U,Utility models,7,1,1,B,1,0,Granted,Active,3100
TH2001006122A,Applications,24,1,3,A,1,0,Published,Pending,3100
TH19398U,Utility models,18,1,3,A,1,0,Granted,Active,3100
TH1901002105A,Applications,34,1,2,A,1,0,Examining,Pending,3100
TH19412U,Utility models,16,1,1,A,1,0,Granted,Active,3100
TH1901003892A,Applications,-,1,8,B,1,0,Published,Pending,3100
TH19454U,Utility models,11,1,3,C,1,0,Granted,Active,3100
TH2001001682A,Applications,42,1,2,C,1,0,Published,Pending,3100
TH1901004501A,Applications,13,1,2,A,1,0,Published,Pending,3100
TH2101000709A,Applications,16,1,6,F,1,0,Published,Pending,3100
TH19431U,Utility models,7,1,2,A,1,0,Granted,Active,3100
TH19446U,Utility models,10,2,4,C,1,0,Granted,Active,3100
TH2101000529A,Applications,18,1,2,A,1,0,Published,Pending,3100
TH2001001865A,Applications,10,1,1,A,1,0,Examining,Pending,3100
TH1901000588A,Applications,15,1,8,A,2,0,Examining,Pending,3100
TH2001007037A,Applications,66,1,3,A,1,0,Published,Pending,3100
TH19485U,Utility models,6,1,2,A,1,0,Granted,Active,3100
TH19482U,Utility models,2,1,4,A,1,0,Granted,Active,3100
TH2001001697A,Applications,1,1,2,A,1,0,Published,Pending,3100
TH19483U,Utility models,2,1,2,A,1,0,Granted,Active,3100
TH1901006370A,Applications,23,1,4,G,1,0,Published,Pending,3100
TH19474U,Utility models,-,1,4,B,1,0,Granted,Active,3100
TH19522U,Utility models,11,1,1,B,1,0,Granted,Active,3100
TH1901008046A,Applications,37,1,4,B,1,0,Published,Pending,3100
TH2001004461A,Applications,13,1,5,A,1,0,Examining,Pending,3100
TH1901005915A,Applications,3,1,4,A,1,0,Examining,Pending,3100
TH2001005739A,Applications,45,1,2,A,1,0,Published,Pending,3100
TH19502U,Utility models,2,1,1,F,1,0,Granted,Active,3100
TH1801003011A,Applications,75,1,1,C,1,0,Published,Pending,3100
TH2001003448A,Applications,39,1,4,C,1,0,Published,Pending,3100
TH1901007604A,Applications,107,1,3,A,1,0,Published,Pending,3100
TH1701002963A,Applications,10,1,1,B,1,0,Published,Pending,3100
TH2101001567A,Applications,36,1,4,A,1,0,Published,Pending,3100
TH1901003623A,Applications,30,1,1,C,1,0,Published,Pending,3100
TH2001007170A,Applications,11,2,4,C,1,0,Examining,Pending,3100
TH2001005852A,Applications,18,1,1,A,1,0,Published,Pending,3100
TH2001002070A,Applications,31,1,4,H,1,0,Examining,Pending,3100
TH1801004257A,Applications,8,1,1,C,1,0,Published,Pending,3100
TH19621U,Utility models,35,1,4,A,1,0,Granted,Active,3100
TH19610U,Utility models,6,1,2,A,1,0,Granted,Active,3100
TH19608U,Utility models,12,1,2,C,1,0,Granted,Active,3100
TH19620U,Utility models,2,1,1,A,1,0,Granted,Active,3100
TH2101005258A,Applications,23,1,8,C,1,0,Examining,Pending,3100
TH19677U,Utility models,6,1,2,C,1,0,Granted,Active,3100
TH19649U,Utility models,9,2,5,C,1,0,Granted,Active,3100
TH2101001092A,Applications,17,1,4,A,1,0,Examining,Pending,3100
TH2101000536A,Applications,59,1,7,A,1,0,Published,Pending,3100
TH19665U,Utility models,7,1,3,A,1,0,Granted,Active,3100
TH2101001797A,Applications,26,1,14,A,1,0,Published,Pending,3100
TH19641U,Utility models,19,1,1,A,1,0,Granted,Active,3100
TH2101003761A,Applications,60,1,5,A,1,0,Examining,Pending,3100
TH1801001179A,Applications,25,1,7,C,1,0,Examining,Pending,3100
TH2001001953A,Applications,72,1,2,B,1,0,Published,Pending,3100
TH2001006378A,Applications,11,1,1,C,1,0,Examining,Pending,3100
TH2101006443A,Applications,7,1,3,A,1,0,Examining,Pending,3100
TH2001004892A,Applications,95,1,3,C,1,0,Examining,Pending,3100
TH1801005374A,Applications,18,1,8,A,1,0,Published,Pending,3100
TH19710U,Utility models,11,1,1,B,1,0,Granted,Active,3100
TH19711U,Utility models,13,1,1,B,1,0,Granted,Active,3100
TH19706U,Utility models,2,1,4,C,1,0,Granted,Active,3100
TH2101000495A,Applications,36,1,4,A,1,0,Published,Pending,3100
TH2001006476A,Applications,25,3,3,C,1,0,Published,Pending,3100
TH19728U,Utility models,12,2,2,C,1,0,Granted,Active,3100
TH19729U,Utility models,18,1,2,C,1,0,Granted,Active,3100
TH19732U,Utility models,11,1,5,C,1,0,Granted,Active,3100
TH19730U,Utility models,15,1,3,C,1,0,Granted,Active,3100
TH19719U,Utility models,14,1,5,B,1,0,Granted,Active,3100
TH19727U,Utility models,14,1,6,C,1,0,Granted,Active,3100
TH19731U,Utility models,2,1,2,C,1,0,Granted,Active,3100
TH2101006494A,Applications,17,1,14,F,1,0,Examining,Pending,3100
TH19718U,Utility models,2,1,1,A,1,0,Granted,Active,3100
TH2101005762A,Applications,20,1,4,F,1,0,Examining,Pending,3100
TH2101001932A,Applications,35,1,20,A,1,0,Examining,Pending,3100
TH2001006828A,Applications,47,1,2,C,1,0,Published,Pending,3100
TH2001005062A,Applications,21,1,4,F,1,0,Examining,Pending,3100
TH19733U,Utility models,19,2,3,C,1,0,Granted,Active,3100
TH1901006908A,Applications,2,1,1,A,1,0,Examining,Pending,3100
TH2001003312A,Applications,40,1,2,B,1,0,Published,Pending,3100
TH19754U,Utility models,11,1,1,F,1,0,Granted,Active,3100
TH1801006467A,Applications,19,1,6,B,1,0,Examining,Pending,3100
TH2001000149A,Applications,19,1,12,F,1,0,Examining,Pending,3100
TH1901003842A,Applications,59,1,8,F,1,0,Published,Pending,3100
TH2001005158A,Applications,35,1,4,F,1,0,Published,Pending,3100
TH2001001250A,Applications,44,1,4,F,1,0,Published,Pending,3100
TH19745U,Utility models,13,1,6,B,1,0,Granted,Active,3100
TH2101001350A,Applications,35,1,5,A,1,0,Published,Pending,3100
TH2101003068A,Applications,74,1,8,A,1,0,Published,Pending,3100
TH19789U,Utility models,2,1,6,C,1,0,Granted,Active,3100
TH19794U,Utility models,14,1,4,A,1,0,Granted,Active,3100
TH2101003433A,Applications,60,1,6,B,1,0,Published,Pending,3100
TH19786U,Utility models,8,2,2,A,1,0,Granted,Active,3100
TH19791U,Utility models,16,2,2,C,1,0,Granted,Active,3100
TH19790U,Utility models,16,2,4,C,1,0,Granted,Active,3100
TH1801002517A,Applications,60,1,1,C,1,0,Published,Pending,3100
TH2101007054A,Applications,43,1,2,A,1,0,Published,Pending,3100
TH19819U,Utility models,28,1,5,C,1,0,Granted,Active,3100
TH1901002538A,Applications,11,2,4,C,1,0,Published,Pending,3100
TH19823U,Utility models,10,1,5,C,1,0,Granted,Active,3100
TH2101003772A,Applications,8,1,1,A,1,0,Published,Pending,3100
TH19816U,Utility models,6,1,3,A,1,0,Granted,Active,3100
TH19829U,Utility models,2,1,3,A,1,0,Granted,Active,3100
TH19846U,Utility models,20,1,3,C,1,0,Granted,Active,3100
TH19842U,Utility models,10,1,1,A,1,0,Examining,Pending,3100
TH1901005325A,Applications,29,1,6,F,1,0,Published,Pending,3100
TH19848U,Utility models,12,2,3,C,1,0,Granted,Active,3100
TH2101007161A,Applications,16,1,1,A,1,0,Examining,Pending,3100
TH2001007202A,Applications,5,1,1,A,1,0,Published,Pending,3100
TH19841U,Utility models,10,1,1,A,1,0,Granted,Active,3100
TH19867U,Utility models,-,1,6,B,1,0,Granted,Active,3100
TH19873U,Utility models,6,1,2,A,1,0,Granted,Active,3100
TH2101005594A,Applications,16,1,1,A,1,0,Published,Pending,3100
TH19885U,Utility models,12,1,2,C,1,0,Granted,Active,3100
TH19878U,Utility models,8,1,3,A,1,0,Granted,Active,3100
TH2001004586A,Applications,104,1,22,C,2,0,Published,Pending,3100
TH2101005336A,Applications,6,2,4,A,1,0,Published,Pending,3100
TH2101002298A,Applications,133,1,3,A,1,0,Published,Pending,3100
TH2101000835A,Applications,21,1,5,A,1,0,Examining,Pending,3100
TH2101002502A,Applications,28,1,2,A,1,0,Published,Pending,3100
TH1901003279A,Applications,126,1,7,A,1,0,Examining,Pending,3100
TH19890U,Utility models,15,3,3,F,1,0,Granted,Active,3100
TH2001000974A,Applications,23,2,1,A,1,0,Examining,Pending,3100
TH19893U,Utility models,19,1,7,C,1,0,Granted,Active,3100
TH19897U,Utility models,13,2,3,C,1,0,Granted,Active,3100
TH19913U,Utility models,17,1,5,C,1,0,Granted,Active,3100
TH2101003649A,Applications,18,1,2,C,1,0,Published,Pending,3100
TH19930U,Utility models,5,1,1,G,1,0,Granted,Active,3100
TH19943U,Utility models,14,1,1,A,1,0,Granted,Active,3100
TH19953U,Utility models,2,1,2,A,1,0,Granted,Active,3100
TH2001007472A,Applications,50,1,5,B,1,0,Published,Pending,3100
TH19987U,Utility models,9,1,4,A,1,0,Granted,Active,3100
TH2001003602A,Applications,77,2,4,C,1,0,Examining,Pending,3100
TH19959U,Utility models,7,1,4,A,1,0,Granted,Active,3100
TH1801006923A,Applications,349,1,8,C,1,0,Published,Pending,3100
TH19991U,Utility models,15,2,4,C,1,0,Granted,Active,3100
TH1901001255A,Applications,114,1,2,C,1,0,Published,Pending,3100
TH19962U,Utility models,2,2,3,C,1,0,Granted,Active,3100
TH19948U,Utility models,15,1,1,A,1,0,Granted,Active,3100
TH2001007411A,Applications,7,1,4,A,1,0,Examining,Pending,3100
TH1801003447A,Applications,181,1,12,A,1,0,Examining,Pending,3100
TH2201002290A,Applications,20,1,3,A,1,0,Published,Pending,3100
TH2101003310A,Applications,6,1,3,G,1,0,Published,Pending,3100
TH2001001059A,Applications,20,1,2,A,1,0,Published,Pending,3100
TH2001006048A,Applications,25,1,8,B,1,0,Published,Pending,3100
TH2101003239A,Applications,38,1,4,A,1,0,Published,Pending,3100
TH2101003498A,Applications,16,1,8,C,1,0,Published,Pending,3100
TH2201005619A,Applications,40,1,6,F,1,0,Published,Pending,3100
TH2101003056A,Applications,21,1,1,A,1,0,Published,Pending,3100
TH2101007100A,Applications,10,1,5,A,1,0,Examining,Pending,3100
TH2201002531A,Applications,25,1,5,A,1,0,Published,Pending,3100
TH2201002532A,Applications,28,1,2,A,1,0,Published,Pending,3100
TH2201002129A,Applications,37,1,1,A,1,0,Published,Pending,3100
TH2001003264A,Applications,80,1,6,C,1,0,Published,Pending,3100
TH2001003271A,Applications,24,1,8,C,1,0,Published,Pending,3100
TH2001004802A,Applications,9,1,5,A,1,0,Published,Pending,3100
TH2201001814A,Applications,62,2,5,B,1,0,Examining,Pending,3100
TH1901004346A,Applications,28,1,4,A,2,0,Published,Pending,3100
TH2001002905A,Applications,7,1,1,B,1,0,Published,Pending,3100
TH2001001470A,Applications,232,1,6,A,1,0,Published,Pending,3100
TH2001001696A,Applications,25,1,2,F,1,0,Examining,Pending,3100
TH2001005520A,Applications,108,1,5,A,1,0,Published,Pending,3100
TH2101005422A,Applications,47,1,1,F,1,0,Published,Pending,3100
TH1901008193A,Applications,75,1,8,C,1,0,Published,Pending,3100
TH2101005633A,Applications,18,1,5,F,1,0,Published,Pending,3100
TH20187U,Utility models,10,1,1,F,1,0,Granted,Active,3100
TH20207U,Utility models,24,1,5,C,1,0,Granted,Active,3100
TH20135U,Utility models,17,1,8,G,1,0,Granted,Active,3100
TH20285U,Utility models,18,1,4,C,1,0,Granted,Active,3100
TH20204U,Utility models,15,1,4,C,1,0,Granted,Active,3100
TH20118U,Utility models,16,1,3,C,1,0,Granted,Active,3100
TH20144U,Utility models,24,1,5,C,1,0,Granted,Active,3100
TH20228U,Utility models,16,1,4,A,1,0,Granted,Active,3100
TH20151U,Utility models,24,2,3,C,1,0,Granted,Active,3100
TH20272U,Utility models,14,1,1,B,1,0,Granted,Active,3100
TH20136U,Utility models,27,1,6,A,1,0,Granted,Active,3100
TH20247U,Utility models,20,1,4,B,1,0,Granted,Active,3100
TH20200U,Utility models,10,2,4,C,1,0,Granted,Active,3100
TH20209U,Utility models,28,1,4,C,1,0,Granted,Active,3100
TH20288U,Utility models,8,1,1,B,1,0,Granted,Active,3100
TH20143U,Utility models,40,1,6,C,1,0,Granted,Active,3100
TH20119U,Utility models,44,1,3,C,1,0,Granted,Active,3100
TH20145U,Utility models,34,2,6,C,1,0,Granted,Active,3100
TH20295U,Utility models,10,2,3,C,1,0,Granted,Active,3100
TH20153U,Utility models,13,1,3,A,1,0,Granted,Active,3100
TH20199U,Utility models,17,1,3,C,1,0,Granted,Active,3100
TH20225U,Utility models,21,1,1,F,1,0,Granted,Active,3100
TH20248U,Utility models,20,1,4,C,1,0,Granted,Active,3100
TH20287U,Utility models,15,2,4,C,1,0,Granted,Active,3100
TH20246U,Utility models,5,1,3,A,1,0,Granted,Active,3100
TH20296U,Utility models,26,1,4,A,1,0,Granted,Active,3100
TH20197U,Utility models,11,1,1,A,1,0,Granted,Active,3100
TH2101000927A,Applications,36,1,2,C,1,0,Published,Pending,3100
TH2201003906A,Applications,27,1,1,F,1,0,Published,Pending,3100
TH2101000981A,Applications,8,1,7,C,1,0,Examining,Pending,3100
TH20306U,Utility models,22,1,5,C,1,0,Granted,Active,3100
TH20313U,Utility models,16,1,4,C,1,0,Granted,Active,3100
TH20348U,Utility models,12,1,1,F,1,0,Granted,Active,3100
TH20338U,Utility models,8,1,3,C,1,0,Granted,Active,3100
TH20366U,Utility models,14,1,2,A,1,0,Granted,Active,3100
TH20445U,Utility models,13,1,1,B,1,0,Examining,Pending,3100
TH20446U,Utility models,18,1,1,B,1,0,Examining,Pending,3100
TH20444U,Utility models,14,1,1,B,1,0,Examining,Pending,3100
TH20400U,Utility models,7,1,1,B,1,0,Granted,Active,3100
TH20447U,Utility models,17,1,1,B,1,0,Examining,Pending,3100
TH20299U,Utility models,7,1,1,C,1,0,Granted,Active,3100
TH20460U,Utility models,8,1,2,A,1,0,Examining,Pending,3100
TH20443U,Utility models,11,1,1,B,1,0,Examining,Pending,3100
TH20475U,Utility models,5,1,1,B,1,0,Examining,Pending,3100
TH20430U,Utility models,9,1,2,A,1,0,Granted,Active,3100
TH20336U,Utility models,16,1,2,C,1,0,Granted,Active,3100
TH20433U,Utility models,6,1,1,A,1,0,Examining,Pending,3100
TH20412U,Utility models,11,2,2,C,1,0,Granted,Active,3100
TH20339U,Utility models,18,1,1,B,1,0,Granted,Active,3100
TH20453U,Utility models,9,1,1,A,1,0,Examining,Pending,3100
TH20451U,Utility models,11,3,3,A,1,0,Granted,Active,3100
TH20392U,Utility models,14,1,1,F,1,0,Granted,Active,3100
TH20319U,Utility models,9,1,7,B,1,0,Granted,Active,3100
TH20369U,Utility models,11,1,9,C,1,0,Granted,Active,3100
TH20310U,Utility models,8,2,2,A,1,0,Granted,Active,3100
TH20474U,Utility models,7,1,2,A,1,0,Examining,Pending,3100
TH20479U,Utility models,10,1,1,F,1,0,Granted,Active,3100
TH20387U,Utility models,7,1,6,C,1,0,Granted,Active,3100
TH20373U,Utility models,10,1,3,C,1,0,Granted,Active,3100
TH20346U,Utility models,17,1,1,F,1,0,Granted,Active,3100
TH20370U,Utility models,13,1,2,C,1,0,Granted,Active,3100
TH20298U,Utility models,6,1,1,C,1,0,Granted,Active,3100
TH20391U,Utility models,13,1,1,F,1,0,Granted,Active,3100
TH20454U,Utility models,9,1,1,A,1,0,Examining,Pending,3100
TH20442U,Utility models,6,2,1,C,1,0,Granted,Active,3100
TH20305U,Utility models,23,1,6,C,1,0,Granted,Active,3100
TH2101007354A,Applications,73,1,5,A,1,0,Published,Pending,3100
TH2101002275A,Applications,14,1,1,A,1,0,Published,Pending,3100
TH2201000652A,Applications,16,2,5,A,1,0,Published,Pending,3100
TH2101006063A,Applications,41,1,5,F,1,0,Published,Pending,3100
TH2001007228A,Applications,32,1,6,B,1,0,Published,Pending,3100
TH2001005725A,Applications,33,1,8,B,1,0,Published,Pending,3100
TH2101000982A,Applications,10,1,2,A,1,0,Published,Pending,3100
TH2001001695A,Applications,25,1,6,F,1,0,Published,Pending,3100
TH2101000915A,Applications,26,1,6,B,1,0,Published,Pending,3100
TH2001001866A,Applications,-,1,1,A,1,0,Published,Pending,3100
TH2001002744A,Applications,33,1,10,F,1,0,Published,Pending,3100
TH20531U,Utility models,4,1,1,A,1,0,Granted,Active,3100
TH20529U,Utility models,3,1,9,F,1,0,Granted,Active,3100
TH2201003450A,Applications,7,1,1,F,1,0,Published,Pending,3100
TH2001000745A,Applications,18,1,1,F,1,0,Published,Pending,3100
TH20562U,Utility models,20,1,1,A,1,0,Granted,Active,3100
TH20557U,Utility models,11,2,2,A,1,0,Granted,Active,3100
TH20587U,Utility models,32,1,3,A,1,0,Granted,Active,3100
TH20566U,Utility models,12,1,1,F,1,0,Granted,Active,3100
TH20590U,Utility models,11,2,7,E,1,0,Granted,Active,3100
TH20598U,Utility models,11,1,1,A,1,0,Granted,Active,3100
TH20595U,Utility models,8,1,3,C,1,0,Granted,Active,3100
TH20603U,Utility models,13,1,1,A,1,0,Granted,Active,3100
TH20605U,Utility models,10,1,1,B,1,0,Granted,Active,3100
TH20616U,Utility models,8,1,1,A,1,0,Granted,Active,3100
TH20596U,Utility models,14,1,1,F,1,0,Granted,Active,3100
TH2001005455A,Applications,31,1,3,F,1,0,Published,Pending,3100
TH2001004416A,Applications,30,1,7,F,1,0,Published,Pending,3100
TH2101002781A,Applications,20,1,3,B,1,0,Published,Pending,3100
TH2001006186A,Applications,56,1,10,B,1,0,Published,Pending,3100
TH2001005456A,Applications,25,1,2,F,1,0,Published,Pending,3100
TH2001003454A,Applications,31,1,3,A,1,0,Published,Pending,3100
TH20663U,Utility models,4,-,2,A,1,0,Granted,Active,3100
TH2101005679A,Applications,24,1,4,A,1,0,Published,Pending,3100
TH2001004343A,Applications,103,1,4,A,1,0,Published,Pending,3100
TH2001001619A,Applications,25,1,1,B,1,0,Published,Pending,3100
TH2001004715A,Applications,51,1,19,F,1,0,Published,Pending,3100
TH2101000781A,Applications,44,1,6,F,1,0,Published,Pending,3100
TH2201003898A,Applications,24,1,2,A,1,0,Published,Pending,3100
TH2201003880A,Applications,63,1,5,A,1,0,Published,Pending,3100
TH2101003619A,Applications,20,1,6,B,1,0,Published,Pending,3100
TH20707U,Utility models,2,2,1,F,1,0,Granted,Active,3100
TH2201003923A,Applications,13,1,6,B,1,0,Published,Pending,3100
TH2201001418A,Applications,53,2,7,G,1,0,Published,Pending,3100
TH2001007227A,Applications,72,1,8,A,1,0,Published,Pending,3100
TH90925B,Patents,1,1,2,A,1,0,Examining,Pending,3100
TH91403B,Patents,29,1,3,A,1,0,Granted,Active,3100
TH91426B,Patents,17,1,8,F,1,0,Granted,Active,3100
TH91394B,Patents,22,1,5,F,1,0,Granted,Active,3100
TH91412B,Patents,1,1,8,B,1,0,Granted,Active,3100
TH91410B,Patents,28,1,6,B,1,0,Granted,Active,3100
TH91397B,Patents,2,1,3,B,1,0,Granted,Active,3100
TH91382B,Patents,3,1,4,F,1,0,Granted,Active,3100
TH91419B,Patents,18,1,6,A,1,0,Granted,Active,3100
TH91574B,Patents,32,1,3,A,1,0,Granted,Active,3100
TH91900B,Patents,1,1,3,A,1,0,Granted,Active,3100
TH91892B,Patents,24,1,3,A,1,0,Granted,Active,3100
TH91966B,Patents,2,1,4,B,1,0,Granted,Active,3100
TH92111B,Patents,1,2,5,A,1,0,Granted,Active,3100
TH92269B,Patents,2,1,3,B,1,0,Granted,Active,3100
TH92401B,Patents,18,1,8,B,1,0,Granted,Active,3100
TH92611B,Patents,32,1,3,F,1,0,Granted,Active,3100
TH92727B,Patents,33,1,3,C,1,0,Granted,Active,3100
TH92710B,Patents,1,2,2,A,1,0,Granted,Active,3100
TH92761B,Patents,42,1,2,F,1,0,Granted,Active,3100
TH143366A,Applications,1,2,10,C,1,0,Examining,Pending,3000
TH149264A,Applications,1,1,2,C,1,0,Examining,Pending,3000
TH153117A,Applications,2,2,1,A,1,0,Examining,Pending,3000
TH141474A,Applications,1,1,4,A,1,0,Examining,Pending,3000
TH134009A,Applications,1,1,21,C,1,0,Examining,Pending,3000
TH147177A,Applications,1,1,3,C,1,0,Published,Pending,3000
TH160470A,Applications,2,1,1,F,1,0,Examining,Pending,3000
TH159475A,Applications,1,1,7,A,1,0,Examining,Pending,3000
TH8968U,Utility models,3,1,1,A,1,0,Non-payment,Inactive,3000
TH92241A,Applications,1,1,7,A,1,0,Withdrawn,Inactive,3000
TH164094A,Applications,1,1,22,A,1,0,Examining,Pending,3000
TH159848A,Applications,1,1,8,A,1,0,Published,Pending,3000
TH159902A,Applications,1,1,8,A,1,0,Published,Pending,3000
TH147621A,Applications,1,1,7,C,1,0,Examining,Pending,3000
TH147225A,Applications,1,1,8,A,1,0,Published,Pending,3000
TH165851A,Applications,1,1,7,C,1,0,Examining,Pending,3000
TH166125A,Applications,1,1,6,C,1,0,Examining,Pending,3000
TH9886U,Utility models,2,1,5,A,1,0,Granted,Active,3000
TH157570A,Applications,1,1,6,A,1,0,Examining,Pending,3000
TH151633A,Applications,1,1,1,A,1,0,Examining,Pending,3000
TH158474A,Applications,1,1,1,A,1,0,Examining,Pending,3000
TH165659A,Applications,2,1,5,A,1,0,Examining,Pending,3000
TH147325A,Applications,1,1,8,A,1,0,Examining,Pending,3000
TH163094A,Applications,1,1,8,A,1,0,Examining,Pending,3000
TH97795A,Applications,1,1,12,A,1,0,Examining,Pending,3000
TH135135A,Applications,1,2,14,A,1,0,Examining,Pending,3000
TH11555U,Utility models,2,1,1,A,1,0,Granted,Active,3000
TH8389U,Utility models,3,1,1,F,1,0,Granted,Active,3000
TH150716A,Applications,1,1,11,A,1,0,Published,Pending,3000
TH169532A,Applications,1,2,9,C,1,0,Examining,Pending,3000
TH164218A,Applications,2,1,10,A,1,0,Published,Pending,3000
TH160995A,Applications,1,1,6,C,1,0,Examining,Pending,3000
TH141629A,Applications,2,2,4,F,1,0,Examining,Pending,3000
TH10012U,Utility models,2,1,1,C,1,0,Granted,Active,3000
TH163773A,Applications,2,1,1,A,1,0,Examining,Pending,3000
TH149238A,Applications,2,1,1,A,1,0,Examining,Pending,3000
TH11948U,Utility models,2,1,1,A,1,0,Granted,Active,3000
TH164783A,Applications,1,1,4,A,1,0,Examining,Pending,3000
TH160185A,Applications,1,1,6,C,1,0,Examining,Pending,3000
TH166002A,Applications,1,1,12,A,1,0,Published,Pending,3000
TH10801U,Utility models,2,1,4,A,1,0,Granted,Active,3000
TH145124A,Applications,1,1,3,C,1,0,Examining,Pending,3000
TH146151A,Applications,1,1,4,A,1,0,Examining,Pending,3000
TH160175A,Applications,3,1,4,C,1,0,Published,Pending,3000
TH146388A,Applications,1,1,1,A,1,0,Withdrawn,Inactive,3000
TH147148A,Applications,1,1,2,A,1,0,Withdrawn,Inactive,3000
TH164056A,Applications,1,1,12,A,1,0,Published,Pending,3000
TH128952A,Applications,1,1,14,A,1,0,Examining,Pending,3000
TH12284U,Utility models,2,1,1,A,1,0,Granted,Active,3000
TH159484A,Applications,1,1,5,C,1,0,Examining,Pending,3000
TH128489A,Applications,1,2,3,C,1,0,Examining,Pending,3000
TH145223A,Applications,1,1,1,C,1,0,Examining,Pending,3000
TH168533A,Applications,1,1,4,A,1,0,Examining,Pending,3000
TH170431A,Applications,1,1,6,C,1,0,Examining,Pending,3000
TH12067U,Utility models,2,1,5,A,1,0,Granted,Active,3000
TH166891A,Applications,1,1,2,A,1,0,Examining,Pending,3000
TH10153U,Utility models,2,1,1,A,1,0,Granted,Active,3000
TH160668A,Applications,2,1,1,F,1,0,Examining,Pending,3000
TH165116A,Applications,1,1,3,C,1,0,Examining,Pending,3000
TH163138A,Applications,1,1,5,A,1,0,Published,Pending,3000
TH127162A,Applications,1,1,1,A,1,0,Examining,Pending,3000
TH127221A,Applications,1,1,6,A,1,0,Examining,Pending,3000
TH147021A,Applications,1,1,4,A,1,0,Published,Pending,3000
TH152704A,Applications,1,1,1,C,1,0,Withdrawn,Inactive,3000
TH165637A,Applications,2,1,1,A,1,0,Published,Pending,3000
TH162255A,Applications,2,1,1,F,1,0,Examining,Pending,3000
TH162753A,Applications,1,1,4,A,1,0,Examining,Pending,3000
TH97977A,Applications,1,1,2,A,1,0,Examining,Pending,3000
TH153063A,Applications,1,1,1,A,1,0,Withdrawn,Inactive,3000
TH129807A,Applications,1,1,3,C,1,0,Examining,Pending,3000
TH99120A,Applications,1,1,4,A,1,0,Examining,Pending,3000
TH159082A,Applications,1,1,1,C,1,0,Examining,Pending,3000
TH147309A,Applications,1,1,4,A,1,0,Published,Pending,3000
TH154339A,Applications,1,2,3,C,1,0,Examining,Pending,3000
TH161767A,Applications,1,1,1,A,1,0,Examining,Pending,3000
TH165111A,Applications,1,1,2,C,1,0,Examining,Pending,3000
TH125089A,Applications,1,1,4,A,1,0,Examining,Pending,3000
TH159853A,Applications,1,1,4,A,1,0,Published,Pending,3000
TH169548A,Applications,1,2,5,C,1,0,Examining,Pending,3000
TH167579A,Applications,1,1,6,A,1,0,Published,Pending,3000
TH148850A,Applications,1,1,8,A,1,0,Examining,Pending,3000
TH141188A,Applications,2,1,7,F,1,0,Examining,Pending,3000
TH157489A,Applications,2,1,8,F,1,0,Published,Pending,3000
TH149956A,Applications,1,1,20,A,1,0,Examining,Pending,3000
TH157631A,Applications,3,1,1,F,1,0,Examining,Pending,3000
TH149441A,Applications,1,1,4,A,1,0,Examining,Pending,3000
TH150650A,Applications,1,1,4,A,1,0,Published,Pending,3000
TH146027A,Applications,1,1,8,C,1,0,Examining,Pending,3000
TH164217A,Applications,2,1,10,A,1,0,Published,Pending,3000
TH11521U,Utility models,2,1,2,A,1,0,Granted,Active,3000
TH12329U,Utility models,2,1,3,A,1,0,Granted,Active,3000
TH148478A,Applications,2,1,1,F,1,0,Published,Pending,3000
TH150490A,Applications,1,1,5,C,1,0,Examining,Pending,3000
TH12231U,Utility models,2,1,5,A,1,0,Granted,Active,3000
TH149254A,Applications,1,1,6,A,1,0,Examining,Pending,3000
TH157351A,Applications,1,1,6,A,1,0,Published,Pending,3000
TH133864A,Applications,1,1,5,A,1,0,Examining,Pending,3000
TH11578U,Utility models,2,1,2,A,1,0,Granted,Active,3000
TH9954U,Utility models,2,1,1,A,1,0,Granted,Active,3000
TH161424A,Applications,1,1,2,A,1,0,Examining,Pending,3000
TH163777A,Applications,2,1,1,A,1,0,Examining,Pending,3000
TH153034A,Applications,1,1,1,A,1,0,Withdrawn,Inactive,3000
TH148176A,Applications,1,1,1,A,1,0,Examining,Pending,3000
TH136555A,Applications,1,1,5,A,1,0,Examining,Pending,3000
TH165863A,Applications,1,1,4,C,1,0,Examining,Pending,3000
